name,folder,reference,keywords,description,base_preset,genre,subgenre_era,mood,vocal_delivery,vocal_gender_type,instruments,production_style,bpm_tempo,song_structure,hook_style,themes,explicitness,aggression,darkness,rhyme_density,wordplay,storytelling,adlibs,song_length
Pearl Jam - Seattle Arena Grunge,Artist References / Rock & Alternative,Pearl Jam,pearl jam eddie vedder seattle grunge 90s alive black,A searchable Pearl Jam reference translated into baritone Seattle grunge traits; the artist name is not sent as the music prompt.,Alternative Rock Catharsis,Grunge,90s Seattle Grunge,Melancholic and Intimate,Raspy Rock Belt,Deep Male Lead,Electric Guitar Bass and Live Drums,Raw Seattle Live Room,,,,,,,,,,,,
Nirvana - Raw Quiet-Loud Grunge,Artist References / Rock & Alternative,Nirvana,nirvana kurt cobain grunge quiet loud raw seattle,A searchable Nirvana reference translated into raw quiet-loud grunge traits.,Alternative Rock Catharsis,Grunge,Raw Quiet-Loud Grunge,Defiant and Rebellious,Raspy Rock Belt,Raspy Male Lead,Fuzz Guitars Bass and Heavy Drums,Raw Seattle Live Room,,,,,,,,,,,,
Soundgarden - Heavy Odd-Meter Grunge,Artist References / Rock & Alternative,Soundgarden,soundgarden chris cornell heavy grunge odd meter seattle,A heavy Seattle reference with dramatic vocal range and dark riff complexity.,Classic Heavy Metal,Grunge,Sludge Harmony Grunge,Dark and Paranoid,Raspy Rock Belt,Warm Male Tenor,Drop-Tuned Guitars Bass and Double Kick,Raw Seattle Live Room,,,,,,,,,,,,
Alice in Chains - Dark Harmony Grunge,Artist References / Rock & Alternative,Alice in Chains,alice in chains layne staley harmony sludge grunge,Dark harmonized grunge with slow crushing riffs and haunted vocal weight.,Alternative Rock Catharsis,Grunge,Sludge Harmony Grunge,Dark and Paranoid,Raspy Rock Belt,Dual Male / Female Leads,Drop-Tuned Guitars Bass and Double Kick,Raw Seattle Live Room,,,,,,,,,,,,
Foo Fighters - Arena Alternative Rock,Artist References / Rock & Alternative,Foo Fighters,foo fighters dave grohl arena alternative rock,Driving polished alternative rock with large drums and a cathartic chorus.,Alternative Rock Catharsis,Alternative Rock,90s Arena Alternative,Defiant and Rebellious,Raspy Rock Belt,Warm Male Tenor,Electric Guitar Bass and Live Drums,Polished Arena Alternative,,,,,,,,,,,,
Radiohead - Art Rock Melancholy,Artist References / Rock & Alternative,Radiohead,radiohead thom yorke art rock melancholy experimental,Uneasy art-rock textures with introspective tension and unexpected structure.,Alternative Rock Catharsis,Alternative Rock,Art Rock Melancholy,Lonely,Breathy Indie Singing,Male Falsetto Lead,Clean Delay Guitar Bass and Drums,Ultra-Wide Atmospheric,,,,,,,,,,,,
The Cure - Gothic Post-Punk,Artist References / Rock & Alternative,The Cure,the cure robert smith goth post punk chorus guitar,Romantic nocturnal post-punk with melodic bass and chorus-soaked guitar.,Shoegaze Bloom,Alternative Rock,Gothic Post-Punk,Melancholic and Intimate,Breathy Indie Singing,Warm Male Tenor,Clean Delay Guitar Bass and Drums,Shoegaze Haze,,,,,,,,,,,,
Depeche Mode - Dark Synthpop,Artist References / Rock & Alternative,Depeche Mode,depeche mode dark synthpop new wave industrial,"Dark synth-pop with disciplined electronics, commanding low voice, and mechanical sensuality.",Industrial Dark Techno,Electronic,Industrial Future,Seductive,Robotic Vocoder,Deep Male Lead,Analog Synth Bass Guitar and Drum Machine,Cold Machine Precision,,,,,,,,,,,,
U2 - Delay Guitar Arena Anthem,Artist References / Rock & Alternative,U2,u2 the edge bono delay guitar arena anthem,Open delay-guitar rock with spiritual lift and a large communal chorus.,Alternative Rock Catharsis,Rock,90s Arena Alternative,Hopeful,Raspy Rock Belt,Warm Male Tenor,Clean Delay Guitar Bass and Drums,Polished Arena Alternative,,,,,,,,,,,,
Oasis - Britpop Swagger,Artist References / Rock & Alternative,Oasis,oasis britpop swagger 90s guitar anthem,Confident Britpop guitar layers with tambourine energy and an anthemic refrain.,Alternative Rock Catharsis,Rock,Britpop Swagger,Confident and Luxurious,Raspy Rock Belt,Raspy Male Lead,Twelve-String Guitar Bass and Tambourine,Classic Analog Hard Rock,,,,,,,,,,,,
